data_as_of,source,source_url,cpo_name,govt_private,state,district,city_village,location,latitude,longitude,charger_or_connector_type,charger_rating,connector_rating,no_of_connectors,latitude_num,longitude_num,charger_rating_num,connector_rating_num,no_of_connectors_num
2025-10-26,Bureau of Energy Efficiency / Ministry of Power,https://beeindia.gov.in/WriteReadData/RTF1984/EV_PCS_Data_29277.pdf,IOCL,Govt.,Andaman & Nicobar,South Andamans,South Andaman,Iocl Dealer Govind Nagar Swaraj Dweep (Havelock No.2),12.034186,92.992718,Type-II AC,7.4,7.4,1,12.034186,92.992718,7.4,7.4,1.0
2025-10-26,Bureau of Energy Efficiency / Ministry of Power,https://beeindia.gov.in/WriteReadData/RTF1984/EV_PCS_Data_29277.pdf,IOCL,Govt.,Andaman & Nicobar,South Andamans,South Andaman,Iocl Dealer S.No.45/1 Bimblitan Port Blair,11.604053,92.694109,Type-II AC,7.4,7.4,1,11.604053,92.694109,7.4,7.4,1.0
2025-10-26,Bureau of Energy Efficiency / Ministry of Power,https://beeindia.gov.in/WriteReadData/RTF1984/EV_PCS_Data_29277.pdf,IOCL,Govt.,Andaman & Nicobar,South Andamans,South Andaman,Marina Refueling Station Vill-Austinabad Po-Brijgunj Tehsil-Port Blair Dist. South Anda,11.637410,92.735160,LEV AC Charge point,3.3,3.3,1,11.63741,92.73516,3.3,3.3,1.0
2025-10-26,Bureau of Energy Efficiency / Ministry of Power,https://beeindia.gov.in/WriteReadData/RTF1984/EV_PCS_Data_29277.pdf,Tata Power,Private,Andaman & Nicobar,South Andamans,Port Blair,"Gennext Motors , Pahargaon, Ground Floor New, Pahargaon, Port Blair, Andaman And Nicobar Islands 744103",11.630305,92.724835,CCS-II,25,25,1,11.630305,92.724835,25.0,25.0,1.0
2025-10-26,Bureau of Energy Efficiency / Ministry of Power,https://beeindia.gov.in/WriteReadData/RTF1984/EV_PCS_Data_29277.pdf,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"27, 962, Chittoor-Bangalore Rd, Near Tvs Showroom, Ram Nagar Colony, Chittoor, Andhra Pradesh 517001",13.208240,79.091059,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,13.20824,79.091059,3.3,3.3,1.0
2025-10-26,Bureau of Energy Efficiency / Ministry of Power,https://beeindia.gov.in/WriteReadData/RTF1984/EV_PCS_Data_29277.pdf,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"P Kothakota, Chavatapalli, Chittoor, Nh-18A, Chittoor Tirupati Road, Chittoor, Chittoor, Andhra Pradesh 517124",13.395837,79.098628,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,13.395837,79.098628,3.3,3.3,1.0
2025-10-26,Bureau of Energy Efficiency / Ministry of Power,https://beeindia.gov.in/WriteReadData/RTF1984/EV_PCS_Data_29277.pdf,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"F5Hq+Pph, Sh 61, Panapakam, Andhra Pradesh 517112",13.479711,79.189436,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,13.479711,79.189436,3.3,3.3,1.0
2025-10-26,Bureau of Energy Efficiency / Ministry of Power,https://beeindia.gov.in/WriteReadData/RTF1984/EV_PCS_Data_29277.pdf,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"H7Hq+M8M, Chittoor, Andhra Pradesh 517101",13.579204,79.288332,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,13.579204,79.288332,3.3,3.3,1.0
2025-10-26,Bureau of Energy Efficiency / Ministry of Power,https://beeindia.gov.in/WriteReadData/RTF1984/EV_PCS_Data_29277.pdf,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"M, Balaji Nagar, Thondavada Village, Nh-140, Chandragiri, Tirupati, Andhra Pradesh 517505",13.585804,79.333717,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,13.585804,79.333717,3.3,3.3,1.0
2025-10-26,Bureau of Energy Efficiency / Ministry of Power,https://beeindia.gov.in/WriteReadData/RTF1984/EV_PCS_Data_29277.pdf,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"Opp Narayana Junior College, Near Chennai - Anatapur Highway - 517102",13.615353,79.313392,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,13.615353,79.313392,3.3,3.3,1.0
