name,type,latitude,longitude,municipality
Daulat Beg Oldi Advanced Landing Ground,small_airport,35.396467,77.928965,Nubra
Walong Advanced Landing Ground,small_airport,28.12967300415,97.019660949707,
Jakkur Aerodrome,small_airport,13.07674,77.597645,Bengaluru
Pakyong Airport,small_airport,27.2313,88.587196,Pakyong
Nadirgul Airport,small_airport,17.306142,78.561004,Hyderabad
Baljek Airport,small_airport,25.661487579345703,90.34503936767578,
Amreli Airport,small_airport,21.621416,71.226309,Amreli
Baramati Airport,small_airport,18.226944,74.590833,Pune
Maharshi Valmiki International Airport,medium_airport,26.747736,82.163664,Faizabad
Korba Airport,small_airport,22.4141666667,82.7194444444,Rumgara
Aamby Valley Airport,small_airport,18.609617,73.377583,Aamby Valley City
Vijay Nagar Airport,small_airport,19.8841,73.84056666670001,Vijay Nagar
INS Kohassa,small_airport,13.236316,93.049731,Diglipur
Khargon Govt. Airstrip,small_airport,21.8100301946,75.55443763730001,
Khandwa Airport,small_airport,21.857117,76.336956,Khandwa
Shirpur Airport,small_airport,21.3239987933,74.9567341805,Shirpur
Umaria Air Field,small_airport,23.5325139099,80.80821990970001,Umaria
Amravati (Belora) Airstrip,small_airport,20.814608,77.717765,Amravati
Madhubani Airport,small_airport,26.329167,86.06,Madhubani
Ulao Aerodrome,small_airport,25.42788,86.08819,Begusarai
Birwa Airstrip,small_airport,22.092639,80.595531,Baihar
Sultanpur Airport,small_airport,26.2475,82.0425,Sultanpur
Raigarh Airport (JSPL),small_airport,21.9352805556,83.3502138889,
Savitri Jindal Airport,small_airport,20.910055,85.036669,Angul
Barbil Tonto Airstrip,small_airport,22.045829,85.373468,Bhusugaon
Bhagalpur Airport,small_airport,25.249535,87.011976,Bhagalpur
Fury Airport,small_airport,26.434072,73.101472,"Karwar, Jodhpur"
CHINDWARA AIRFIELD,small_airport,22.0,78.93,
Gauchar Airstrip,small_airport,30.284585,79.161665,Gauchar
Poonch Airport,small_airport,33.76875,74.083753,Poonch
Noamundi Airport,small_airport,22.192222,85.548889,Itarbalijor
Saharsa Airport,small_airport,25.892205,86.583016,Saharsa
Vedanta Lanjigarh Airstrip,small_airport,19.7194444444,83.3936111111,
Akli Airport,small_airport,25.8077,70.2943,Akli
Surichua Air Base,small_airport,24.18824,87.701722,Rampurhat
Durgapur Steel Plant Airport,small_airport,23.58331,87.339787,Durgapur
Sido Kanhu Airport,small_airport,24.231185,87.269989,Dumka
Vanasthali Airport,small_airport,26.407627,75.870128,Vanasthali
Mandla Airstrip,small_airport,22.500929,80.331195,Dhenko
Mithapur Airport,small_airport,22.412068,68.993632,Mithapur
Sindhudurg Airport,medium_airport,16.002552,73.529846,Chipi
Mandvi Airport,small_airport,22.83932,69.30498,Mandvi
Mehsana Airport,small_airport,23.60118,72.37399,Mehsana
Navi Mumbai International Airport,large_airport,18.984597,73.065253,Navi Mumbai
Chushul Airstrip,small_airport,33.55493,78.72214,Chushul
Therubali Aerodrome,small_airport,19.34564,83.43444,Deopur
Viraf Airstrip,small_airport,17.728462,78.700909,Mamidiyal
Rashtrakavi Kuvempu Airport,medium_airport,13.858024,75.618868,Shimoga
Nyoma Airstrip,small_airport,33.16913,78.72971,Nyoma
Tuting Advanced Landing Ground,small_airport,28.98876,94.89863,Tuting
Itanagar Donyi Polo Hollongi Airport,medium_airport,26.96683,93.638792,Hollongi
Birasal Airport,small_airport,20.98366,85.681622,Rahani
Mohammadabad Airport,small_airport,27.316258,79.451555,Mohammadabad
Marhamtabad Airport,small_airport,26.58182,79.96797,Marhamtabad
Benti Airstrip,small_airport,25.67292,81.49592,Benti
Andhau Airfield,small_airport,25.6155,83.56064,Biraich
Bihta Air Force Station,small_airport,25.59124,84.88312,Patna
Dinjan Airfield,small_airport,27.53606,95.2682,Baghbari Gaon
Dhulia Airport,small_airport,20.9265,74.737099,
Abu Road Airport,small_airport,24.4942,72.781502,
Dahod Helipad,small_airport,22.874296,74.243247,Dahod
Sant Gadge Baba Yavatmal Airport,medium_airport,20.395781,78.216272,Yavatmal
Gunna Ka Pura,small_airport,26.65022,77.792484,Khanpura
Tarpura Airfield,small_airport,27.729912,75.24086,Dadiya
Gandhinagar Airfield,small_airport,19.963699,73.807602,Nashik
Kannur Heliport,small_airport,11.862516,75.366505,Kannur
Noida International Airport,large_airport,28.179868,77.611843,Gautam Buddha Nagar
Maa Mahamaya Airport,medium_airport,22.98753,83.19612,Ambikapur
Jagdalpur Airport,small_airport,19.074301,82.036797,Jagdalpur
Rajouri Airport,small_airport,33.377899,74.315201,Rajouri
Sirohi Airport,small_airport,24.895099639892575,72.84590148925781,
Banswara Airport,small_airport,23.589259,74.314048,
Osmanabad Airport,small_airport,18.281,76.0574,Osmanabad
Chanda Airport,small_airport,19.99469947814941,79.22250366210938,
Birlagram Airport,small_airport,23.4468994140625,75.42030334472656,
Muirpur Airport,small_airport,24.125200271606445,83.04060363769531,
Bhilai Airport,small_airport,21.2942008972168,81.37950134277344,
Sidhi Airport,small_airport,24.402299880981445,81.8147964477539,
"Rewa Airport, Chorhata, REWA",medium_airport,24.503401,81.220299,Rewa
Ondwa Airport,small_airport,25.14150047302246,74.61150360107422,
Dhana Airport,small_airport,23.75359916687012,78.85579681396484,
Naliya Air Force Station,small_airport,23.2223,68.891296,Naliya
Amla Airport,small_airport,21.926399,78.113602,Amla
Karad Airport,small_airport,17.285900115966797,74.15809631347656,
Nimach Airport,small_airport,24.43079948425293,74.8677978515625,
Burhar Airport,small_airport,23.235200881958008,81.50370025634766,
Diu Airport,small_airport,20.714185,70.921855,Diu
Phalodi Airport,small_airport,27.11289978027344,72.38899993896484,
Dr. Bhimrao Ambedkar Airstrip,small_airport,28.904933,77.677524,Meerut
